Genre,Total wgpg,Avg Total wgpg,Avg RunTime,Avg Vote,Total Fan reviews,avg Fan reviews,%Overall Gross Income,%Overall Fan review
Action,91270779105,245351556.73387095,112.89784946236558,6.293548387096776,259906,698.6720430107526,39.82489455801698,37.32329643692092
Adventure,8321348021,130021062.828125,104.3125,6.001562499999998,24868,388.5625,3.630919016650901,3.571120850589634
Animation,49457243863,392517808.43650794,92.96031746031746,6.688888888888888,44449,352.76984126984127,21.580066931478694,6.383012332630636
Biography,6945240793,76321327.3956044,121.74725274725274,7.038461538461538,29538,324.5934065934066,3.0304713619576282,4.241747132246928
Comedy,41138561095,72682970.13250883,101.7173144876325,6.060600706713781,135056,238.61484098939928,17.950310865563353,19.39445462430568
Crime,6214568943,59186370.885714285,112.06666666666666,6.687619047619049,42366,403.48571428571427,2.711651585594318,6.083887162461012
Drama,17035824327,65775383.501930505,110.92277992277992,6.61969111969112,111329,429.8416988416988,7.433374779798594,15.987184863088844
Family,1278931894,639465947.0,118.0,6.5,1345,672.5,0.5580463794095597,0.19314611323962755
Fantasy,257805064,85935021.33333333,93.33333333333333,6.133333333333333,1832,610.6666666666666,0.11249010462057475,0.26308080256877153
Horror,6440822447,75774381.72941177,95.6,5.6141176470588245,39506,464.77647058823527,2.8103745506937607,5.673182416092733
Music,7975812,7975812.0,93.0,7.2,69,69.0,0.0034801485758015815,0.00990861101378015
Mystery,425034117,141678039.0,113.66666666666667,7.966666666666666,4341,1447.0,0.18545846829697502,0.623380875519125
Romance,127869379,127869379.0,106.0,7.0,477,477.0,0.05579424856246394,0.06849865874743669
Sci-Fi,161849455,161849455.0,105.0,7.4,488,488.0,0.07062104150806366,0.07007829238731468
Thriller,96361020,48180510.0,88.5,6.25,794,397.0,0.04204595927233336,0.11402082818755709
