,2000-2004,2005-2009,2010-2014,2015-2020
Action,6.293548387096776,6.033333333333334,6.2688,6.5297872340425505
Adventure,6.001562499999998,6.3,6.066666666666667,6.2124999999999995
Animation,6.688888888888888,6.67,6.722222222222221,6.828571428571427
Biography,7.038461538461538,6.985714285714287,6.986956521739131,7.013157894736843
Comedy,6.060600706713781,6.110344827586207,6.1139534883720925,6.320454545454547
Crime,6.687619047619049,6.8,6.708333333333335,6.806666666666666
Drama,6.61969111969112,6.707692307692308,6.725925925925925,6.53061224489796
Family,6.5,0.0,0.0,7.1
Fantasy,6.133333333333333,0.0,6.5,0.0
Horror,5.6141176470588245,5.775,5.628571428571428,5.33076923076923
Music,7.2,0.0,7.2,0.0
Mystery,7.966666666666666,0.0,8.2,0.0
Romance,7.0,0.0,7.0,0.0
Sci-Fi,7.4,0.0,7.4,0.0
Thriller,6.25,0.0,6.1,0.0
